page,reference,text
40,PDF page 40,"39 
 
Course Coverage 
The programme should focus on developing leadership roles and 
strategic management expertise amongst the concerned executives and 
cover areas of General Management apart from Business strategy, 
Corporate Governance, etc. They should also i nter-alia allow some 
exposure to global benchmarks, best practices etc. so as to enable 
concerned executives to develop a wider horizon and frame of reference. 
Course Fee and Entitlement 
Programme fee shall bear all expenses including course fee. T A/DA will 
be paid as per the Rules of DFCCIL. 
Approving Authority 
The Managing Director shall be the Competent Authority for the 
approval of a nomination to the Advanced Management Programme 
subject to delegation of power applicable for allowing foreign tr avels in 
case of Board level executives. 
     18. Training Evaluation 
The objective of training evaluation is to enhance value addition 
through training  programmes by building on the strengths and by 
removing the shortcomings, if any, and measure the impact of training 
programmes on job behavior. 
Training Evaluation would be done at three levels: 
1. Pre-training Evaluation 
2. Programme Feedback 
3. Impact Assessment 
 
18.1  Pre Training Evaluation 
Pre-training Evaluation is aimed at detecting shortcomings in the 
programme design before the commencement of the programme. For 
this, in case of all in -house programmes, HR Department shall review 
the programme design, content etc. in the light of the feedback obtained 
from a sample of participants. 
18.2  Program Evaluation 
The Training Centre/ HR Department, as the case may be, shall seek 
participant Feedback at the end of the training programme in the 
Programme Feedback Form as in Annexure I for making modifications/ 
improvements in future programmes. 
  "
41,PDF page 41,"40 
 
18.3  Post Training Feedback Report  
Employees sent for training will submit feedback of the training in 
prescribed format. (Annexure I)  
18.4 Impact Assessment 
It involves measuring the change in job behavior of the employee on 
account of the learning during the training pro gramme. The information 
would be collected through the Impact Assessment Form (IAF) as in 
Annexure II after completion of six months of the programme. 
Impact Assessment is required in case of all customized and foreign 
training programmes and Planned Interventions. 
18.5 Program Evaluation Report 
After Impact Assessment HR Department would prepare a Programme 
Evaluation Report in case of all Long-duration programmes and Planned 
Interventions of duration of not less than 10 training days in the 
proforma given  in Annexure III and circulate it to all the participants 
concerned. 
19. Sharing of Learning: 
Employees who have attended training programmes shall normally 
share their learning with other employees in for a like Professional 
Circles, Quality Circles, and Departmental Meetings etc. and submit a 
report on the same to his Controlling Officer. In case of medium and 
long-duration programmes for employees, the participant shall submit 
an action plan to his Reporting Officer, with a copy marked to HR, 
detailing the steps that would be taken by him/her for implementing the 
learning in his/her job. The information will be made available on the 
knowledge portal. 
20.     Learning & Development Budget 
 
Adequate funds, for learning and development activities for meeting  the 
stipulated training required will be allocated. A budget at around 1% of 
the total General& Admin (G&A) expenses of DFCCIL and progressively 
to be increased with necessary approvals of the competent authority 
based on performance and needs of the organization. 
 
21. General: The system shall be reviewed from to time to keep it in line 
with the latest in the area of Learning and Development. The 
management reserves the right to modify, cancel, add or amend any of 
these provisions at any time. 
 
 "
42,PDF page 42,"41 
 
 
ANNEXURE – II 
IMPACT ASSESSMENT FORM 
(To be filled in only the case of Medium and Long Duration programs, six months after the 
completion of the training program and responsibility of getting the form filled lies with the 
Training Department) 
 
 
PART I – BACKGROUND INFORMATION 
(to be filled in by Programme Co-ordinator) 
Course Title: 
Period:                                                 
Venue: 
Programme Objectives  
 
(to be filled in by the Participant) 
Name: Emp. No.  
Designation : Place of posting: 
Department: 1.1.1  
PART II – IMPACT ASSESSMENT 
1.  The programme introduced me to new concepts and tools that helped me to 
perform my job better 
No impact                                             -------------------                    Great Impact                              
         1           2           3           4            5 
 
2.  How often do you apply the knowledge/skills gained during the programme? 
Occasional                                             -------------------                    Daily                              
         1           2           3           4            5 
 
3.  Are there any significant achievements as a result of the application of your 
knowledge to your organization? 
Not Significant                                     -------------------                    Significant                              
         1           2           3           4            5 
 "
43,PDF page 43,"42 
 
4.  Would you like to elaborate on some/any of the achievements? 
5.   Was action planning done as part of the p rogramme? If yes, how far have you 
been able to implement the action targets set? 
6.   What barriers have you experienced in trying to apply your new knowledge and 
skills? 
 Not Significant            -------------------          Significant   
Lack of finances 
1.1.2  
1 2 3 4 5 
Lack of team support 
1.1.3  
1 2 3 4 5 
Lack of Institutional  
Support 
1.1.4  
1 2 3 4 5 
Change of role 
1.1.5  
1.1.6  1.1.7  1.1.8  1.1.9  1.1.10  
Others (please explain) 
1.1.11  
1.1.12  
1.1.13  
1.1.14  
1.1.15  
1.1.16  1.1.17  1.1.18  1.1.19  1.1.20  
 
7. Would you like to explain in detail, any of the above barriers? 
 
 
Signature of the participant 
  "
44,PDF page 44,"43 
 
PART III – ASSESSMENT REVIEW 
(To be filled in by the Reporting Officer) 
1.1.21  
1.1.22  
Do you agree with the information furnished by the participant in Part II? Kindly 
elaborate. 
1.1.23  
1.1.24  
1.1.25  
1.1.26  
1.1.27  
1.1.28  
1.1.29  
1.1.30  
1.1.31  
1.1.32  
1.1.33  
1.1.34  
1.1.35  
1.1.36  
1.1.37  
1.1.38  
1.1.39  
1.1.40  
1.1.41  
 
Signature of the Reporting Officer 
Name:--------------------------------------- 
Designation:------------------------------- 
Unit : ---------------------------------------- 
 
Head of Department 
Head of HR 
 
  "
45,PDF page 45,"44 
 
ANNEXURE – III 
 
PROGRAMME EVALUATION REPORT 
 
Programme Title: 
Period: 
Venue: 
Programme Co-ordinator: 
 
 
PART I -   BACKGROUND INFORMATION 
PROGRAMME OBJECTIVES: 
1.1.42  
1.1.43  
1.1.44  
PROGRAMME SCHEDULE: 
1.1.45  
1.1.46  
1.1.47  
PARTICIPANT PROFILE: 
1.1.48  
1.1.49  
1.1.50  
1.1.51  
ANALYSIS OF PROGRAMME FEEDBACK: 
1.1.52  
1.1.53  
1.1.54  
1.1.55  
 
 "
46,PDF page 46,"45 
 
PART II – IMPACT ASSESSMENT 
EXTENT OF IMPACT OF LEARNING ON JOB PERFORMANCE: 
1.1.56  
1.1.57  
1.1.58  
1.1.59  
1.1.60  
AREAS OF APPLICATION OF LEARNING: 
1.1.61  
1.1.62  
1.1.63  
1.1.64  
1.1.65  
SIGNIFICANT ACHIEVEMENTS OF PARTICIPANTS ON APPLICATION OF 
LEARNING: 
1.1.66  
1.1.67  
1.1.68  
1.1.69  
1.1.70  
1.1.71  
 
 
Signature of the Programme Co-ordinator 
  "
47,PDF page 47,"46 
 
Annexure IV 
Individual TNA Form  
Employee Code 1.1.72  
Employee Name 1.1.73  
Designation 1.1.74  
Department 1.1.75  
Location 1.1.76  
Mobile No 1.1.77  
Email id 1.1.78  
 
Note: The given questionnaire is to help you reflect on your job role and to 
identify any areas where you may benefit from further training and 
development. The more honest and accurate you are with this, the more 
effective will be the resulting training and development plan.  
Instructions: 
Current Need: The skill level is low and so this area needs to be administered 
on a priority basis (within 6 months).  
Future Need: The skill level is moderate but this area could be administered in 
the near future (after 6 months).  
Not Needed: The skill level in this particular area is high and therefore not 
required.  
Remarks: Please specify your personal needs that should be highlighted in the 
training program.  
S
N 
Training Topic Areas Current 
Need 
Future 
Need 
Not 
Needed 
Remarks 
1 Behavioral Areas 1.1.79  1.1.80  1.1.81  1.1.82  
1.1.83  Program 1 1.1.84  1.1.85  1.1.86  1.1.87  
1.1.88  Program 2 1.1.89  1.1.90  1.1.91  1.1.92  
2 General Management  
Program 
1.1.93  1.1.94  1.1.95  1.1.96  
1.1.97  Program 1 1.1.98  1.1.99  1.1.100  1.1.101  
1.1.102  Program 2 1.1.103  1.1.104  1.1.105  1.1.106  
3 Functional Areas -HR,  
Finance, IT, Procurement,  
Legal  
1.1.107  1.1.108  1.1.109  1.1.110  
1.1.111  Program 1 1.1.112  1.1.113  1.1.114  1.1.115  
1.1.116  Program 2 1.1.117  1.1.118  1.1.119  1.1.120  
4 Technical Areas-  
Operations, Maintenance,  
S&T, Civil, Mechanical 
1.1.121  1.1.122  1.1.123  1.1.124  "
48,PDF page 48,"47 
 
1.1.125  Program 1 1.1.126  1.1.127  1.1.128  1.1.129  
1.1.130  Program 2 1.1.131  1.1.132  1.1.133  1.1.134  
 
Other Details  
1. What have been the main aspects of professional and personal development 
provided in your job over the past year? (This can include projects undertaken, 
courses attended, or other activities that have contributed to the enhancement 
of your skills/expertise) -------------------------------------------------------------------------
----------------------------------------- ----------------------------------------------------------------
-------------------------------------------------- -------------------------------------------------------
----------------------------------------------------------- ----------------------------------------------
------------------------------------------------------------------- 
 2. Please specify your future interest areas: ------------------------------------------------ 
----------------------------------------------------------------------------------------------------------
-------- -------------------------------------------------------------------------------------------------
----------------- ----------------------- 
 3. Other skills, abilities and strengths? (What other skills and abilities do you 
have that are not fully used and which you would like to develop?)  
----------------------------------------------------------------------------------------------------------
-------- -------------------------------------------------------------------------------------------------
----------------- ----------------------------------------------------------------------------------------
-------------------------- ------------------------------ 
 4. Which training location do you prefer?  
      In-house          Off-site  
 
5. Please use this space to provide any additional information: -----------------------
------------------------------------------------------------------------------------------- --------------
---------------------------------------------------------------------------------------------------- -----
----------------------------------------------------------------------------------------------------------
--- ------------------------------------------------------------------------  
 
Signature                                                                                                                                      
Date 
 
 
 
 "
49,PDF page 49,"48 
 
DFCCIL’s   CORPORATE   SOCIAL   RESPONSIBILITY   AND   
SUSTAINABILITY   POLICY 
4.2 Introduction 
Corporate Social Responsibility (CSR), also called corporate con science, corporate 
citizenship, social performance, or sustainable responsible business) is a form of 
corporate self -regulation integrated into a business model. It is the continuing 
commitment by business to perform ethically and contribute to economic de velopment 
while improving the quality of life of the workforce and their families as well as of the 
local community and society at large. CSR policy functions as a built-in, self-regulating 
mechanism whereby business monitors and ensures its active compliance with the spirit 
of the law, ethical standards, and international norms.  
The Government of India enacted the Companies Act 2013 in August 2013 Section 135 
of the Companies Act 2013 (hereinafter referred to as ‘the Act’) deals with the subject 
of Corporate Social Responsibility (CSR).  It lays down the qualifying criteria based on 
net worth, turnover, and net profit for companies which are required to undertake CSR 
activities and, inter-alia, specifies the broad modalities of selection, implementation and 
monitoring of the CSR activities by the Boards of Directors of companies.  
DFCCIL’s CSR Vision 
At DFCCIL, Corporate Social Responsibility is envisaged as a commitment to meet its 
social obligations by playing an active role to improve the quality of life  of the 
communities and stakeholders on a sustainable basis, preferably in the project areas 
where it is operating.  
DFCCIL’s CSR Policy Statement 
DFCCIL’s Corporate Social Responsibility Policy is “ To remain a responsible 
corporate entity mindful of its s ocial responsibilities to all stakeholders including 
shareholder, employees, local community and society at large”.  
 
Key results area to be covered under Corporate Social Responsibility  
Generally the underprivileged and backward communities/areas where D FCCIL has its 
business operations would be covered under the policy. The focus is to address the 
basic needs of the deprived, under privileged, neglected and weaker sections of the 
society which comprise of SC,ST, OBC, minorities, BPL families old and aged , 
women/ girl child, physically challenged etc. 
Implementation of CSR 
Partnership Approach 
As per the requirement, DFCCIL may carry out the identified activities on their own or 
engage specialized agencies/NGOs Trusts/ Missions/ Government/ Semi -Government/ 
autonomous organizations/ contracted agencies for work etc, which have requisite 
expertise of carrying out the identified activities. The agency/organization will be 
appointed to work singly or in collaboration with other agencies. DFCCIL will monitor 
and ensure delivery of services as planned in accordance with the needs of the 
community. The activities would be taken up in a project mode with milestone and 
deadlines.  
Broad guidelines and parameters: 
a. Discussion and interactions with Central and State Go vt. officials be held to 
identify the areas for undertaking CSR activities to avoid duplicity of the same 
with the programmes run by Central, State and Local Government. Initiatives of "
50,PDF page 50,"49 
 
Government and Self Help Groups (SHGs) etc. would be dovetailed / syner gized 
with initiatives taken by DFCCIL. 
b. While identifying the CSR activities, emphasis is on the areas related to the 
business of DFCCIL. The target beneficiaries, the local authorities, institution etc. 
involved in similar activities if need be, may be co nsulted in the process of 
planning and implementation of CSR programme. 
c. Assign the CSR projects to NGOs/specialized agencies under a MoU/Agreement 
reflecting the mutual terms and conditions.  
Allocation of funds: 
a. As per the Companies Act and the DPE Guidel ines it is mandatory for all profit 
making CPSEs to undertake CSR activities. Even the CPSEs which are not 
covered under the eligible criteria based on threshold limits of net worth, 
turnover, or net profit as specified by Section 135(1) of the Company Act , but 
which make profit in any particular year, would also be required to take up CSR 
activities within the provisions of the Act, the CSR Rules, and the Guidelines. 
Such CPSEs are expected to spend at least 2% of the profit made in the previous 
year on CSR activities. Accordingly, funds may be allocated amounting to at least 
2% of the average net profit of the company made during the three immediately 
preceding financial years or MoU target whichever is higher. 
b. Allocation to CSR Fund can be increased with the approval of CSR Committee 
and would require subsequent ratification by Board of Directors.  
Monitoring and Evaluation 
a) The impact of the CSR activities undertaken should be quantified to the extent 
possible with reference to baseline data, to be created  before the start of any 
project. Therefore, Base -line surveys would be an integral part of CSR 
programme so that progress can be measured. Photographic record may be 
maintained wherever possible. 
b) For proper and periodic monitoring of CSR activities, if considered necessary, the 
programmes undertaken under CSR may be evaluated through a suitable 
independent external agency and the evaluation should be both concurrent and 
final. 
Reporting of CSR Activities 
The CSR activities will also be reflected in the Ann ual accounts of DFCCIL 
under the head ‘Expenditure under CSR Activities’. 
Display of CSR activities on DFCCIL website 
The CSR policy of DFCCIL, duly approved by the BOD shall be displayed on the 
company’s website.  
 
 
 
 
  "
51,PDF page 51,"50 
 
Organisational Chart of the Corporate Office of DFCCIL is given below: -  
 
 
 
 
"
52,PDF page 52,"51 
 
 
                                                            
"
53,PDF page 53,"52 
 
                                                            CHAPTER - V 
                                                    CONSTRUCTION PLANNING 
5.0 The Construction Model 
 
Design-Build Lump -sum Contract strategy is being used for construction of the two 
corridors. The selection of contractors is through open bid, Prequalification, Post 
qualification and Bidding process. Project Management Consultan ts engaged as 
Engineer for overall supervision of the work .The Civil Contracts is followed by 
System Contracts including Signalling & Telecommunication and Electrical OHE 
Equipment. The size of packages is decided based on cost and availability of agencie s 
to achieve good competition and also manageability of contracts from contractors as 
well as supervision point of views. In addition, the market appetite is considered to 
ensure there is price discovery through open competition. For the Western Corridor, the 
entire length is divided into packages having a length of about 110 to 350 km. 
Electrification as well as S&T Contracts are undertaken for longer stretches. 
On the Eastern Corridor, the length between Ludhiana and Mughalsarai has been 
divided into three Adaptable Program Lending (APL) packages. APL -1 covers Khurja-
Bhaupur (351km), EDFC -2 covers Bhaupur - Mugalsarai (402 km) and EDFC -3 is 
Ludhiana-Khurja-Dadri (401 km. S/L + 46 Km D/L). Civil work is undertaken 
separately for these APLs, followed by system Electrification & S&T Works. 
Road Over Bridges has been sanctioned by Ministry of Railways on cost sharing basis 
as per available procedure and funded through Road Safety Fund/other funding. 
5.1 Progress 
 
The Project is now in advanced phase of Construct ion. All Works and Consultancy 
Contract for WDFC/EDFC awarded except System Contract for Khurja -Dadri and 
Khurja-Sanehwal Section of EDFC.  
5.1.1  Land Acquisition: 
 
Land is being acquired by DFCCIL on behalf of Central Government, Ministry of 
Railways (MoR) through the nominated Competent Authorities (CA) who are mainly 
Revenue Officers of the State Government. DFC project has been declared as a Special 
Railway Project by MoR and land acquisition is being done as per Railway Amendment 
Act, 2008. DFC alignm ent passes through 68 districts of 9 states in both the corridors 
and involving 11796 hectares of land (EC-5796 ha & WC-6000 ha) covering 3365 Km. 
 
Project Description Total Scope 
Length (Km.) Area (Ha.) 
EDFC (without Sonnagar-Dankuni) 1326 4567 
Sonnagar-Dankuni 535 1229 
WDFC 1504 6000 
Total of EDFC & WDFC  3365 11796 
 
 
  "
54,PDF page 54,"53 
 
The detailed procedure for land acquisition for DFC project is provided in RAA 2008, 
highlights are mainly as under:- 
 
i. Appointment of Competent Authority through Gazette notification. 
ii. Preparation of land plans 
iii. Gazette notification u/s 20A of RAA 2008 i.e. Intention to acquire land for 
public purpose. 
iv. Publication of 20A notification in local newspapers in vernacular language 
v. Hearing of objections received from land losers by Competent Authority 
vi. Submission of report u/s 20E(1) by the CA 
vii. Gazette notification u/s 20E i.e. Land vested with the Central Government 
free from all encumbrances   
viii. Declaration of award u/s 20F i.e. Land compensation 
ix. Payment of compensation to land losers 
Land acquisition in DFCCIL is being done in most transparent manner by conducting 
Social Impact Assessment (SIA) prior to land acquisition to ascertain the socio -
economic condition of the Project Affected People (PAPs).  As per section 20 -O of 
the Railway (Amendment)  Act, 2008, the ‘National Rehabilitation and Resettlement 
Policy, 2007’ is to be adopted. A robust Entitlement Matrix duly approved by MoR 
has been prepared encompassing all categories of beneficiaries incorporating various 
benefits under National Rehabili tation and Resettlement Policy 2007. With the 
passage of “the Right to Fair Compensation and Transparency in Land Acquisition, 
Rehabilitation & Resettlement Act, 2013 followed by the Amendment Ordinance, the 
provisions of the new act with regard to compens ation & R&R are applicable to all 
acquisition being undertaken by DFCC from 01.01.2015. A new Entitlement Matrix 
has been issued by Railway Board as per the provisions of the new Act and has come 
into force from 01.01.2015. The same has been made available  on DFCCIL web site, 
all the CPM office, Public places in affected villages for the public information.  
Due care has been taken to avoid or minimize land acquisition and involuntary 
resettlement impacts by exploring all viable alternatives and to ensure a dequate 
rehabilitation package and expeditious implementation of rehabilitation process. DFC 
has a well formulated Resettlement Policy Framework (RPF) 1 to take appropriate 
resettlement and rehabil itation measures for persons / household adversely affected 
due to implementation of DFC project. Social Impact Assessment studies have been 
conducted for EDFC & WDFC to meet the World Bank & JICA Social safeguard 
policies.  
A Resettlement Action Plan (RAP) detailing the road map for resettlement of PAPs 
has also been prepared in consultation with the Multilateral funding agency. DFC has 
also hired NGOs for smooth implementation of RAP to facilitate the PAPs in the 
resettlement process. An independent consultant for Social and Environmental 
Monitoring has also been put in place. DFC is the first project in the country to 
implement NRRP 2007 by including it in the act itself. 
  
                                                           
 
 "
55,PDF page 55,"54 
 
Land is being acquired under RAA 2008. Progress as on May 2019 is as under:  
Project Description Land to be 
Acquired (Ha.) 
20A issued 
(Ha) 
20E issued 
(Ha) 
20F Award 
declared  
(Ha) 
Eastern DFC (without 
Sonnagar-Dankuni) 
4567 4559 4459 4402 
Western DFC 6000 6000 5999 5976 
  1.2  1.3  1.4  
  1.5  1.6  1.7  
Sonnagar-Dankuni 1229 1120 1016 918 
Total  11796 11679 11474 11296 
 
 
Para 5.1.2     Procurement Plan & Progress 
Para 5.1.2.1 Eastern DFC - The Eastern DFC is being executed in a phased manner. The 
World Bank funding fina lized in three tranches for Ludhiana – Mughalsarai 
Section.  Phase -1 of Loan was sanctioned for Khurja – Kanpur Section for 
USD 975 Million.   During June 2017 USD 175 Million was surrendered 
during restructuring and Khurja – Dadri Section was also include d in EDFC – 
1 Loan. Another USD 245 Million surrendered  during December 2018 and 
EDFC – 1 extended up to May 2019. 
Phase -2 from Kanpur to Mughalsarai was sanctioned for USD 1100 Million. 
During restructuring USD 190 Million was surrendered.  
  Phase – 3 for Khurja – Ludhiana Section is sanctioned for USD 650 Million. 
Para 5.1.2.1.1 Eastern Dedicated Freight Corridor Project – 1 (EDFC- 1) 
For EDFC – 1 (Khurja – Bhaupur Section (351 km ): World Bank Loan 
amount Agreement for USD 975 million was signed in October  2011. Loan 
No. is 8066 – IN.  Lot 101, 102 & 103 involving Civil, Structure and Track 
Works Contract Pack ages of approx. 115km each were awarded in January 
2013 to TATA – ALDESA JV. System Work  involving Electrification, 
Signalling and Telecommunication Works was awarded to ALSTOM 
Consortium in July  2015. Construction work  for Civil and System Works are 
in progress. Civil Works for Khurja – Dadri Section awarded to GIL - TPL JV 
during June  2016. System W ork for Khurja – Dadri Section  Technical 
Evaluation of bids completed during November 2018 and Contract likely to be 
awarded by August 2019. Trail run  for Khurja – Bhadan Section done with 
Diesel Loco during November 2018.   Khurja - Bhaupur Section is planned for 
Commissioning by November 2019. 
 
 
 "
56,PDF page 56,"55 
 
Para 5.1.2.1.2 Eastern Dedicated Freight Corridor  Project – 2  (EDFC – 2) 
For EDFC – 2 (Bhaupur – Mughalsarai section (402km): World Bank Loan 
amount for USD1100 million signed in September 2013. Loan No.   8318 IN.  
During restructurin g USD 190 Million surrendered. Lot  201& 
202 involving Civil, Structure and Track Works Contract awarded in 
March 2015 to GIL – SIL JV. S&T and Electrical  Works Contract awarded in 
June  2016 to   Beijing National Railway Research and Design Institute of 
Signal & Communication Group Co. Ltd., China and L&T – INABENSA JV 
respectively.  Civil and System Works are in progress.   Section is targeted for 
Commissioning by December 2020. 
Para 5.1.2.1.3 Eastern Dedicated Freight Corridor Project – 3 (EDFC – 3) 
USD 650 Million Loan was sanctioned by World Bank for Khurja – Sanehwal 
Section. Loan was signed on  21.10.2016. Lot  301 for C ivil, Structure and 
Track Works Section for Pilkhani – Sanehwal Section was awarded to GIL – 
TPL JV in June 2016. Lot 303 for  Civil Works  Khurja – Pilkhani Section 
awarded to Larsen& Toubro Limited during February 2018. System Work for 
Khurja – Pilkhani and Pilkhani – Sanehwal Technical Evaluation of bids are in 
progress. Tender likely to be awarded during August / September 2019.   Civil 
Works in both sections is in progress.  Sections are targeted for completion by 
December 2021. 
Para 5.1.2.1.4  Mughalsarai – Sonnagar Section    (126 KM ) This section is being 
constructed through  Railway funding. Durgauati – Sasaram Section 
completed. Section is targeted for Commissioning by December 2020.    
Para 5.1.2.1.5   Sonnagar - Dankuni Section    (535 KM)  through PPP - It has been 
decided to implement Sonnagar  - Dankuni Section under PPP mode. As the 
size of the project is substantial, based on investor feedback, it has been 
decided to split  the project in two phases viz. Sonnagar – Gomoh Section 
(Phase – 1) and Gomoh - Dankuni Phase – 2. The total land acquisition 
involved in this section is approximately  2189 Ha. 85% land (including 
Railway land) is  already in possession. Target for this section  will be 
decided after appointment of concessionaire. 
Para 5.1.2.2  Western DFC 
Para 5.1.2.2.1 JICA Funded Section: Phase -1 (Rewari - Vadodara, 953 km) The Loan 
Agreement for the first tranche for a total of 90,262,000,000 JPY (Ninety 
Billion Two Hundred Sixty Two Million JPY) has been signed on 31st March 
2010. The Loan Agreement for the second tranche for a total of 
103,664,000,000 JPY (One Hundred Three Billion Six Hundred Sixty Four 
Million JPY) has been signed on 31st March 2016. The construction works of 
Phase-1 project will be carried out in seven contrac t packages namely: Civil 
Packages: CTP-1, 2 & 3, Special Steel Bridge Packages: CTP-3AR, Electrical: 
EMP-4, Signalling & Telecom: STP -5&5A, & Procurement of Track/OHE 
Machines: PE -6. All contract package except PE -6, have been awarded. All 
the civil and system works are in various stages of progress. 
Para 5.1.2.2.2 JICA Funded Section: Phase 2 ( Vadodara - JNPT &Rewari – Dadri 
551km) The Loan Agreement for the first tranche for a total of 
136,119,000,000 JPY (One Hundred Thirty Six Billion one Hundred Ninet een "
57,PDF page 57,"56 
 
Million JPY) has been signed on 28th March, 2013. The Construction works 
of Phase-2 project will be carried out in nine contract packages namely: Civil 
Packages: CTP -11, 12 & 13, Integrated Packages: CTP -14 & Special Steel 
Bridge Packages: CTP -15A, 15B  & 15C, Electrical: EMP -16, Signalling& 
Telecom: STP-17.All the contract packages have been awarded and work is in 
progress. 
Para 5.1.2.2.3 Bridge Construction (Railway Funded) Contract for Construction of 54 
Important and major Bridges between Vaitarna an d Surat on WDFC are in 
progress as a part of separate contracts. Works on 27 bridges are complete. 
Work is in progress for remaining bridges. 
Para 5.1.2.2.4 Road over Bridges (Railway Funded): 118 Level Crossing on WDFC are to be 
converted to ROBs and are  being executed by various agencies as per mutual 
agreed and terms with State Govt. 11 ROBs are already completed and 
awarded for 65 ROBs. 
  
""On EDFC there are 146 ROBs from Sanehwal to Sonnagar, out of which 34 
ROBs have been completed. Work is in progres s at 24 ROBs. Remaining 
ROBs are at various stages of planning."" 
Para 5.1.3 Timeline for Completion of DFC – DFC would be operationalized in phases 
starting from the year  2019-20.  For a massive project  of this size and 
complexity, it is natural  to consider  phased implementation and  start driving 
benefits by early commencement of operation. The   project phase of the DFC 
plan comprises of construction of Dedicated Freight Corridor (DFC)   
spanning  the Mumbai – Delhi (Western DFC)   and  Ludhiana  - Delhi – 
Kolkata  (Eastern DFC) legs   of the golden Quadrilateral,   covering a total 
length of  3,365 Route KM. Plan  for commissioning of sections is  as under. 
Eastern DFC 
Bhaupur /Kanpur – Khurja 
               
: 351KM March, 2020 
Bhaupur /Kanpur – Mughalsarai : 402 KM  December 2020 
Khurja – Ludhiana  : 401KM December 2021 
Mughalsarai – Sonnagar : 126KM December 2020 
Khurja – Dadri : 46KM  December 2020 
Sonnagar – Dankuni  : 535KM Based on finalization of         
PPP Contract 
 
Western DFC 
Phase-1    1.7.1  1.7.2  1.7.3  
Rewari- Palanpur : (641Km.) March,2020 
Palanpur – Makarpura : (308 Km) September,2021 
Phase-2    
Makarpura - JNPT : (428Km.) December,2021 
Rewari-Dadri  1.7.4  (127 Km) March, 2021 
 
 
                                                                             ********** 
 "
58,PDF page 58,"57 
 
                                                            CHAPTER - VI 
                                                   Information Technology  
 
6.0 DFCCIL embarked on a journey to create and deploy a World Class Enterprise -wide 
Integrated IT System which will completely automate its Core Organizational business 
functions and provide each employee with an environment to conduct its regular office 
activities more efficiently and effectively. DFCCIL is in the process of implementing 
SAP-ERP System. The Project aims at the Centralized implementation of a Software 
Solution integrating Financial Management, Human Resource Management, Project 
Management, Enterprise Asset Management, Land Acquisition Information 
Management, Geographical Information M anagement, Portal and Document 
Management System. The ERP solution would be utilized for managing the most 
critical functions of the organization. The system is both horizontally and vertically 
scalable. The solution would provide Dashboard and GIS based r eporting, enabling 
effective decision making by senior management.  
6.1  Envisaged Benefits 
The proposed IT system will help DFCCIL to preserve important artefacts (plans, 
drawings, notes, documents, reports etc.) in a secure and manageable environment in 
digitized format. The envisaged system would expedite decision making, ensure better 
planning and co -ordination between different functions, better data management, 
effective reporting, knowledge management, etc. Time lost in accessing information 
will be reduced. State -of-the-art processes will be established to ensure that best 
practices are followed. The IT Solution will provide senior management with critical 
information related to various contracts, activities and funds in the form of 
Management Dashbo ards with inbuilt triggers to ensure timely decision making. The 
Integrated IT system would thus, at any point of time capture a complete picture of 
what is going on in the organization. It would be a very powerful tool to drive 
important business decision s based on various business parameters. Not only decision 
making, it would also be a tool to measure outcomes of the decisions taken on real -time 
basis. 
6.2 IT Related Developments 
A state of the art Data centre has been set up at DFCCIL. This Data Centre has been 
connected with all the 14 CPMs locations by using MPLS (Multi -Protocol Label 
Switching) based WAN (wide area network) and CPM Sub -Offices are connected 
through VPN. Thus all CPM offices in both Eastern and Western corridor are 
connected to the DFCCIL’s data centre. 
To improve Network availability and access speed redundant MPLS connectivity 
between Corporate Office Data Centre and CPM Offices is under implementation. 
DFCCIL is considering shifting Data Center to a spacious location along with its 
capacity augmentation. Also Disaster Recovery Data Center proposal has been 
initiated.   
 
User Acceptance Testing (UAT) for the system has been completed for all modules. 
Operational Acceptance phase is under process. Partial Acceptance has already been 
issued for four Modules i.e. Land Acquisition Information System Module, 
Geographical Information System Module, Portal and Document Management System. 
Operational Acceptance testing of Human Resource Management System Module has 
been completed by HR Departme nt and they are working regularly through SAP. 
Finance Module is also under advanced stage of Testing & Development. All the 
payments (except Major Contracts) are being made through ERP system.  "
59,PDF page 59,"58 
 
DFCCIL is now undergoing the final stage of ERP implementatio n. Almost all the 
work is being done in the ERP system at Corporate Office. In CPM Offices all Modules 
are being used except for PMS Module which is in the process of being 
implemented.DFCCIL’s Payroll is being generated from the ERP system since Feb, 
2014. 
Almost all DFCCIL employees have been provided SAP License with ESS (Employee 
Self Service) rights. Thus through the Portal each employee can access his pay slip, 
apply for leave and access various user manuals and other information as well. 
Employees ca n file their property returns online. All posting and transfer orders are 
generated through the SAP-ERP System. 
The Project Contractors and Project Management Consultants are also accessing the 
SAP-ERP System through VPN for online submission of bills.  
Since SAP implementation is a dynamic process, any future requirements will be taken 
care with the help of users.  
 
 
                                                                  ********** 
 
 
 
 
 
 
 
 
 
 
                                                          
  "
